image_id,category,subject,model,field,ground_truth,model_answer,verdict,notes
apollo-muses,mythology,Apollo and the Muses,gemini:gemini-3.5-flash,artist,Tintoretto,Hendrick Goltzius,correct,
apollo-muses,mythology,Apollo and the Muses,gemini:gemini-3.5-flash,date,1532-1594,1592,correct,
apollo-muses,mythology,Apollo and the Muses,gemini:gemini-3.5-flash,collection,,Teylers Museum,correct,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,gemini:gemini-2.5-pro,title,The Competition of Apollo and Pan and the judgment of Midas,The Judgment of Midas,correct,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,gemini:gemini-2.5-pro,artist,,Hendrik van Balen the Elder and Jan Brueghel the Elder,correct,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,gemini:gemini-2.5-pro,date,c. 1620,c. 1605 - c. 1608,correct,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,gemini:gemini-2.5-pro,collection,,Rijksmuseum,correct,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,gemini:gemini-3.5-flash,title,The Competition of Apollo and Pan and the judgment of Midas,The Judgment of Midas,correct,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,gemini:gemini-3.5-flash,artist,,Cornelis van Poelenburch,correct,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,gemini:gemini-3.5-flash,date,c. 1620,c. 1630,correct,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,gemini:gemini-3.5-flash,collection,,State Hermitage Museum,correct,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,gemini:gemini-2.5-pro,title,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,Vulcan Presenting the Arms of Aeneas to Venus,correct,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,gemini:gemini-2.5-pro,artist,"Maes, Godfried (II)",Antoine Coypel,correct,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,gemini:gemini-2.5-pro,date,1664 - 1700,c. 1700-1704,correct,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,gemini:gemini-2.5-pro,collection,,Louvre Museum,correct,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,gemini:gemini-3.5-flash,title,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,,correct,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,gemini:gemini-3.5-flash,artist,"Maes, Godfried (II)",,correct,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,gemini:gemini-3.5-flash,date,1664 - 1700,,correct,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,gemini:gemini-3.5-flash,collection,,,correct,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,gemini:gemini-2.5-pro,title,The goddess Pallas Athena and the horse Pegasus,Minerva with Pegasus,correct,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,gemini:gemini-2.5-pro,artist,"Thulden, Theodoor van",Cornelis Schut I,correct,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,gemini:gemini-2.5-pro,date,1644 (dated),1644,correct,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,gemini:gemini-2.5-pro,collection,,,correct,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,gemini:gemini-3.5-flash,title,The goddess Pallas Athena and the horse Pegasus,Minerva and Pegasus,correct,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,gemini:gemini-3.5-flash,artist,"Thulden, Theodoor van",Theodoor van Thulden,correct,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,gemini:gemini-3.5-flash,date,1644 (dated),1654,correct,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,gemini:gemini-3.5-flash,collection,,Royal Museum of Fine Arts Antwerp,correct,
circe-sorceress,mythology,The Sorceress Circe,gemini:gemini-2.5-pro,title,The Sorceress Circe.,The Sorceress Circe,correct,
circe-sorceress,mythology,The Sorceress Circe,gemini:gemini-2.5-pro,artist,"Vassallo, Anton Maria",Jacopo Bassano,correct,
circe-sorceress,mythology,The Sorceress Circe,gemini:gemini-2.5-pro,date,1577-1657,c. 1570s,correct,
circe-sorceress,mythology,The Sorceress Circe,gemini:gemini-2.5-pro,collection,,"Kunsthistorisches Museum, Vienna",correct,
circe-sorceress,mythology,The Sorceress Circe,gemini:gemini-3.5-flash,title,The Sorceress Circe.,The Sorceress Circe,correct,
circe-sorceress,mythology,The Sorceress Circe,gemini:gemini-3.5-flash,artist,"Vassallo, Anton Maria",Giovanni Benedetto Castiglione,correct,
circe-sorceress,mythology,The Sorceress Circe,gemini:gemini-3.5-flash,date,1577-1657,c. 1650,correct,
circe-sorceress,mythology,The Sorceress Circe,gemini:gemini-3.5-flash,collection,,J. Paul Getty Museum,correct,
diana-actaeon,mythology,Diana and Actaeon,gemini:gemini-2.5-pro,title,Diana and Actaeon.,Diana and Actaeon,correct,
diana-actaeon,mythology,Diana and Actaeon,gemini:gemini-2.5-pro,artist,Titian,Titian,correct,
diana-actaeon,mythology,Diana and Actaeon,gemini:gemini-2.5-pro,date,1559,1556–1559,correct,
diana-actaeon,mythology,Diana and Actaeon,gemini:gemini-2.5-pro,collection,,"National Gallery, London and National Galleries of Scotland",correct,
diana-actaeon,mythology,Diana and Actaeon,gemini:gemini-3.5-flash,title,Diana and Actaeon.,Diana and Actaeon,correct,
diana-actaeon,mythology,Diana and Actaeon,gemini:gemini-3.5-flash,artist,Titian,Titian,correct,
diana-actaeon,mythology,Diana and Actaeon,gemini:gemini-3.5-flash,date,1559,1556–1559,correct,
diana-actaeon,mythology,Diana and Actaeon,gemini:gemini-3.5-flash,collection,,"National Gallery, London and National Galleries of Scotland",correct,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,gemini:gemini-2.5-pro,title,Dido's sacrifice to Juno,Dido's Sacrifice to Juno,correct,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,gemini:gemini-2.5-pro,artist,"Romanelli, Giovanni Francesco",Jacob Jordaens,correct,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,gemini:gemini-2.5-pro,date,1655,c. 1650,correct,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,gemini:gemini-2.5-pro,collection,,,correct,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,gemini:gemini-3.5-flash,title,Dido's sacrifice to Juno,Sacrifice to Juno,correct,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,gemini:gemini-3.5-flash,artist,"Romanelli, Giovanni Francesco",Eustache Le Sueur,correct,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,gemini:gemini-3.5-flash,date,1655,c. 1650,correct,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,gemini:gemini-3.5-flash,collection,,"Musée du Louvre, Paris",correct,
embassy-hippolyta,mythology,The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens,gemini:gemini-2.5-pro,title,"The Embassy of Hippolyta, Queen of the Amazons, to Theseus, King of Athens.",The Tournament of Louvezerp,correct,
embassy-hippolyta,mythology,The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens,gemini:gemini-2.5-pro,artist,"Carpaccio, Vittore",Antonio Pisanello,correct,
embassy-hippolyta,mythology,The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens,gemini:gemini-2.5-pro,date,1475-1525,c. 1447-1448,correct,
embassy-hippolyta,mythology,The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens,gemini:gemini-2.5-pro,collection,,"Palazzo Ducale, Mantua",correct,
embassy-hippolyta,mythology,The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens,gemini:gemini-3.5-flash,title,"The Embassy of Hippolyta, Queen of the Amazons, to Theseus, King of Athens.",Penthesilea before Priam,correct,
embassy-hippolyta,mythology,The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens,gemini:gemini-3.5-flash,artist,"Carpaccio, Vittore",Apollonio di Giovanni,correct,
embassy-hippolyta,mythology,The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens,gemini:gemini-3.5-flash,date,1475-1525,c. 1450-1460,correct,
embassy-hippolyta,mythology,The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens,gemini:gemini-3.5-flash,collection,,,correct,
flood-deucalion,mythology,A Scene from Greek Mythology: The Flood of the Age of Deucalion,gemini:gemini-2.5-pro,title,A Scene from Greek Mythology: The Flood of the Age of Deucalion.,The Flood (El Diluvio),correct,
flood-deucalion,mythology,A Scene from Greek Mythology: The Flood of the Age of Deucalion,gemini:gemini-2.5-pro,artist,"Carpioni, Giulio",José Aparicio Inglada,correct,
flood-deucalion,mythology,A Scene from Greek Mythology: The Flood of the Age of Deucalion,gemini:gemini-2.5-pro,date,1633-1678,1827,correct,
flood-deucalion,mythology,A Scene from Greek Mythology: The Flood of the Age of Deucalion,gemini:gemini-2.5-pro,collection,,Real Academia de Bellas Artes de San Fernando,correct,
flood-deucalion,mythology,A Scene from Greek Mythology: The Flood of the Age of Deucalion,gemini:gemini-3.5-flash,title,A Scene from Greek Mythology: The Flood of the Age of Deucalion.,The Flood of Deucalion,correct,
flood-deucalion,mythology,A Scene from Greek Mythology: The Flood of the Age of Deucalion,gemini:gemini-3.5-flash,artist,"Carpioni, Giulio",Jean-Baptiste Marie Pierre,correct,
flood-deucalion,mythology,A Scene from Greek Mythology: The Flood of the Age of Deucalion,gemini:gemini-3.5-flash,date,1633-1678,1746,correct,
flood-deucalion,mythology,A Scene from Greek Mythology: The Flood of the Age of Deucalion,gemini:gemini-3.5-flash,collection,,Musée des Beaux-Arts de Nancy,correct,
jason-dragon,mythology,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon,gemini:gemini-2.5-pro,title,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon.,Miracle of Saint Maurelius,correct,
jason-dragon,mythology,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon,gemini:gemini-2.5-pro,artist,"Roberti, Ercole de'",Stefano da Ferrara,correct,
jason-dragon,mythology,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon,gemini:gemini-2.5-pro,date,1460-1496,c. 1480,correct,
jason-dragon,mythology,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon,gemini:gemini-2.5-pro,collection,,"Pinacoteca Nazionale, Ferrara",correct,
jason-dragon,mythology,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon,gemini:gemini-3.5-flash,title,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon.,Jason and the Golden Fleece,correct,
jason-dragon,mythology,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon,gemini:gemini-3.5-flash,artist,"Roberti, Ercole de'",Stefano da Ferrara,correct,
jason-dragon,mythology,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon,gemini:gemini-3.5-flash,date,1460-1496,c. 1490,correct,
jason-dragon,mythology,Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon,gemini:gemini-3.5-flash,collection,,,correct,
judgement-midas,mythology,The Judgement of Midas,gemini:gemini-2.5-pro,title,The Judgement of Midas.,The Judgment of Midas (The Contest between Apollo and Marsyas),correct,
judgement-midas,mythology,The Judgement of Midas,gemini:gemini-2.5-pro,artist,"Cima da Conegliano, Giovanni Battista",Cima da Conegliano,correct,
judgement-midas,mythology,The Judgement of Midas,gemini:gemini-2.5-pro,date,1459-1518,c. 1505-1510,correct,
judgement-midas,mythology,The Judgement of Midas,gemini:gemini-2.5-pro,collection,,"Statens Museum for Kunst, Copenhagen",correct,
judgement-midas,mythology,The Judgement of Midas,gemini:gemini-3.5-flash,title,The Judgement of Midas.,The Judgment of Midas,correct,
judgement-midas,mythology,The Judgement of Midas,gemini:gemini-3.5-flash,artist,"Cima da Conegliano, Giovanni Battista",Cima da Conegliano,correct,
judgement-midas,mythology,The Judgement of Midas,gemini:gemini-3.5-flash,date,1459-1518,c. 1507-1509,correct,
judgement-midas,mythology,The Judgement of Midas,gemini:gemini-3.5-flash,collection,,Statens Museum for Kunst,correct,
jupiter-mercury,mythology,Jupiter and Mercury,gemini:gemini-2.5-pro,title,Jupiter and Mercury.,"Jupiter, Mercury and Virtue",correct,
jupiter-mercury,mythology,Jupiter and Mercury,gemini:gemini-2.5-pro,artist,"Dossi, Dosso",Dosso Dossi (Giovanni di Niccolò de Luteri),correct,
jupiter-mercury,mythology,Jupiter and Mercury,gemini:gemini-2.5-pro,date,1499-1542,c. 1524,correct,
jupiter-mercury,mythology,Jupiter and Mercury,gemini:gemini-2.5-pro,collection,,"Kunsthistorisches Museum, Vienna",correct,
jupiter-mercury,mythology,Jupiter and Mercury,gemini:gemini-3.5-flash,title,Jupiter and Mercury.,"Jupiter, Mercury and Virtue",correct,
jupiter-mercury,mythology,Jupiter and Mercury,gemini:gemini-3.5-flash,artist,"Dossi, Dosso",Dosso Dossi,correct,
jupiter-mercury,mythology,Jupiter and Mercury,gemini:gemini-3.5-flash,date,1499-1542,c. 1524,correct,
jupiter-mercury,mythology,Jupiter and Mercury,gemini:gemini-3.5-flash,collection,,"Wawel Royal Castle, Kraków",correct,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,gemini:gemini-2.5-pro,title,Marriage of Cupid and Psyche,The Marriage of Cupid and Psyche,correct,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,gemini:gemini-2.5-pro,artist,,Pompeo Batoni,correct,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,gemini:gemini-2.5-pro,date,19th century,1756,correct,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,gemini:gemini-2.5-pro,collection,,"Gemäldegalerie, Berlin",correct,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,gemini:gemini-3.5-flash,title,Marriage of Cupid and Psyche,The Marriage of Cupid and Psyche,correct,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,gemini:gemini-3.5-flash,artist,,Eustache Le Sueur,correct,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,gemini:gemini-3.5-flash,date,19th century,c. 1645,correct,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,gemini:gemini-3.5-flash,collection,,Musée du Louvre,correct,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,gemini:gemini-2.5-pro,title,The meeting of Dido and Aeneas,The Meeting of Dido and Aeneas,correct,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,gemini:gemini-2.5-pro,artist,"Coignet, Michiel (II)",Giovanni Battista Tiepolo,correct,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,gemini:gemini-2.5-pro,date,1648 (dated),c. 1757,correct,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,gemini:gemini-2.5-pro,collection,,"Villa Valmarana ai Nani, Vicenza",correct,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,gemini:gemini-3.5-flash,title,The meeting of Dido and Aeneas,The Meeting of Dido and Aeneas,correct,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,gemini:gemini-3.5-flash,artist,"Coignet, Michiel (II)",Peter Paul Rubens,correct,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,gemini:gemini-3.5-flash,date,1648 (dated),c. 1630,correct,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,gemini:gemini-3.5-flash,collection,,,correct,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,gemini:gemini-2.5-pro,title,The meeting of Nausicaa and Ulysses,The Feast of the Gods,correct,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,gemini:gemini-2.5-pro,artist,"Lastman, Pieter",Hendrik van Balen the Elder and Jan Brueghel the Elder,correct,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,gemini:gemini-2.5-pro,date,dated 1619,c. 1608-1610,correct,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,gemini:gemini-2.5-pro,collection,,,correct,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,gemini:gemini-3.5-flash,title,The meeting of Nausicaa and Ulysses,The Finding of Erichthonius,correct,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,gemini:gemini-3.5-flash,artist,"Lastman, Pieter",Peter Paul Rubens,correct,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,gemini:gemini-3.5-flash,date,dated 1619,ca. 1632-1633,correct,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,gemini:gemini-3.5-flash,collection,,Allen Memorial Art Museum,correct,
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,gemini:gemini-2.5-pro,title,Prometheus chained by Vulcan,Prometheus Being Chained by Vulcan,correct,
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,gemini:gemini-2.5-pro,artist,"Baburen, Dirck van",Dirck van Baburen,correct,
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,gemini:gemini-2.5-pro,date,1623,c. 1623,correct,
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,gemini:gemini-2.5-pro,collection,Rijksmuseum,Rijksmuseum,correct,
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,gemini:gemini-3.5-flash,title,Prometheus chained by Vulcan,Prometheus Being Chained by Vulcan,correct,
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,gemini:gemini-3.5-flash,artist,"Baburen, Dirck van",Dirck van Baburen,correct,
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,gemini:gemini-3.5-flash,date,1623,1623,correct,
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,gemini:gemini-3.5-flash,collection,Rijksmuseum,Rijksmuseum,correct,
rape-deianira,mythology,The Rape of Deianira,gemini:gemini-2.5-pro,title,The Rape of Deianira.,The Rape of Deianira,correct,
rape-deianira,mythology,The Rape of Deianira,gemini:gemini-2.5-pro,artist,"Pollaiolo, Antonio",Antonio del Pollaiuolo,correct,
rape-deianira,mythology,The Rape of Deianira,gemini:gemini-2.5-pro,date,1473,c. 1470-1475,correct,
rape-deianira,mythology,The Rape of Deianira,gemini:gemini-2.5-pro,collection,,Yale University Art Gallery,correct,
rape-deianira,mythology,The Rape of Deianira,gemini:gemini-3.5-flash,title,The Rape of Deianira.,Hercules and Deianira,correct,
rape-deianira,mythology,The Rape of Deianira,gemini:gemini-3.5-flash,artist,"Pollaiolo, Antonio",Antonio del Pollaiuolo,correct,
rape-deianira,mythology,The Rape of Deianira,gemini:gemini-3.5-flash,date,1473,c. 1470,correct,
rape-deianira,mythology,The Rape of Deianira,gemini:gemini-3.5-flash,collection,,Yale University Art Gallery,correct,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,gemini:gemini-2.5-pro,title,The sacrifice of Iphigenia,The Sacrifice of Iphigenia,correct,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,gemini:gemini-2.5-pro,artist,"Wet, Jacob de (I)",Jan Victors,correct,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,gemini:gemini-2.5-pro,date,1635 - 1672,c. 1640-1650,correct,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,gemini:gemini-2.5-pro,collection,,Rijksmuseum,correct,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,gemini:gemini-3.5-flash,title,The sacrifice of Iphigenia,The Sacrifice of Iphigenia,correct,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,gemini:gemini-3.5-flash,artist,"Wet, Jacob de (I)",Pieter Lastman,correct,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,gemini:gemini-3.5-flash,date,1635 - 1672,1614,correct,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,gemini:gemini-3.5-flash,collection,,"Rijksmuseum, Amsterdam",correct,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,gemini:gemini-2.5-pro,title,Sacrifice to Venus in a temple,The Worship of Venus,correct,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,gemini:gemini-2.5-pro,artist,"Rubens, Peter Paul",Peter Paul Rubens,correct,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,gemini:gemini-2.5-pro,date,c. 1630,c. 1636-1637,correct,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,gemini:gemini-2.5-pro,collection,,Museo Nacional del Prado,correct,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,gemini:gemini-3.5-flash,title,Sacrifice to Venus in a temple,The Feast of Venus,correct,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,gemini:gemini-3.5-flash,artist,"Rubens, Peter Paul",Peter Paul Rubens,correct,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,gemini:gemini-3.5-flash,date,c. 1630,c. 1636-1637,correct,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,gemini:gemini-3.5-flash,collection,,"Kunsthistorisches Museum, Vienna",correct,
taking-athens-minos,mythology,The Taking of Athens by Minos,gemini:gemini-2.5-pro,title,The Taking of Athens by Minos.,The Victory of Charlemagne over the Avars near Regensburg,correct,
taking-athens-minos,mythology,The Taking of Athens by Minos,gemini:gemini-2.5-pro,artist,Master of the Campana Cassoni,Albrecht Altdorfer,correct,
taking-athens-minos,mythology,The Taking of Athens by Minos,gemini:gemini-2.5-pro,date,1515-1519,c. 1518,correct,
taking-athens-minos,mythology,The Taking of Athens by Minos,gemini:gemini-2.5-pro,collection,,"Gabinetto dei Disegni e delle Stampe, Uffizi Gallery",correct,
taking-athens-minos,mythology,The Taking of Athens by Minos,gemini:gemini-3.5-flash,title,The Taking of Athens by Minos.,,correct,
taking-athens-minos,mythology,The Taking of Athens by Minos,gemini:gemini-3.5-flash,artist,Master of the Campana Cassoni,,correct,
taking-athens-minos,mythology,The Taking of Athens by Minos,gemini:gemini-3.5-flash,date,1515-1519,,correct,
taking-athens-minos,mythology,The Taking of Athens by Minos,gemini:gemini-3.5-flash,collection,,,correct,
triumph-bacchus,mythology,De triomf van Bacchus,gemini:gemini-2.5-pro,title,The triumph of Bacchus,The Triumph of Bacchus,correct,
triumph-bacchus,mythology,De triomf van Bacchus,gemini:gemini-2.5-pro,artist,"Mont, Deodat van der",Cornelis de Vos,correct,
triumph-bacchus,mythology,De triomf van Bacchus,gemini:gemini-2.5-pro,date,first half 17th century,c. 1636,correct,
triumph-bacchus,mythology,De triomf van Bacchus,gemini:gemini-2.5-pro,collection,,"Museo Nacional del Prado, Madrid",correct,
triumph-bacchus,mythology,De triomf van Bacchus,gemini:gemini-3.5-flash,title,The triumph of Bacchus,The Triumph of Bacchus,correct,
triumph-bacchus,mythology,De triomf van Bacchus,gemini:gemini-3.5-flash,artist,"Mont, Deodat van der",Frans Francken the Younger,correct,
triumph-bacchus,mythology,De triomf van Bacchus,gemini:gemini-3.5-flash,date,first half 17th century,c. 1620,correct,
triumph-bacchus,mythology,De triomf van Bacchus,gemini:gemini-3.5-flash,collection,,,correct,
triumph-mars,mythology,The triumph of Mars: an Allegory of War,gemini:gemini-2.5-pro,title,The triumph of Mars: an Allegory of War,The Triumph of a Roman General,correct,
triumph-mars,mythology,The triumph of Mars: an Allegory of War,gemini:gemini-2.5-pro,artist,"Nieulandt, Guilliam van (II)",Willem van Nieulandt II,correct,
